TS,QV2M,PRECTOTCORR,date
31.39,18.98,0.09,1990-09-13
31.02,19.53,3.53,1990-09-14
30.34,19.9,3.86,1990-09-15
29.47,20.26,2.11,1990-09-16
29.08,20.39,3.5,1990-09-17
28.47,19.1,7.15,1990-09-18
29.12,18.43,12.15,1990-09-19
29.33,18.92,4.29,1990-09-20
30.0,18.92,2.18,1990-09-21
30.22,18.92,1.14,1990-09-22
29.84,18.86,0.53,1990-09-23
28.4,18.98,1.47,1990-09-24
27.91,19.1,3.28,1990-09-25
26.87,19.65,27.69,1990-09-26
26.38,20.32,26.82,1990-09-27
27.43,20.08,1.37,1990-09-28
26.35,18.8,2.72,1990-09-29
27.17,18.92,6.07,1990-09-30
26.34,18.98,3.5,1990-10-01
26.35,19.35,1.64,1990-10-02
26.75,19.65,1.67,1990-10-03
26.44,19.9,3.69,1990-10-04
27.37,19.41,6.45,1990-10-05
27.73,19.78,1.55,1990-10-06
27.46,19.78,0.63,1990-10-07
26.39,19.29,2.0,1990-10-08
24.92,17.27,10.77,1990-10-09
24.96,16.17,1.98,1990-10-10
25.69,16.48,0.72,1990-10-11
25.88,16.91,1.42,1990-10-12
25.56,16.85,2.34,1990-10-13
25.15,15.99,3.38,1990-10-14
26.56,15.75,0.67,1990-10-15
25.83,15.75,4.3,1990-10-16
25.43,13.61,0.2,1990-10-17
25.11,13.49,0.0,1990-10-18
25.69,13.98,0.0,1990-10-19
25.77,13.67,0.0,1990-10-20
26.29,13.85,0.0,1990-10-21
26.12,13.98,0.0,1990-10-22
25.19,11.9,0.0,1990-10-23
23.12,9.28,0.0,1990-10-24
23.36,9.95,0.0,1990-10-25
23.94,11.41,0.0,1990-10-26
23.94,10.01,0.0,1990-10-27
23.32,9.4,0.04,1990-10-28
23.11,8.24,0.01,1990-10-29
23.53,10.44,0.0,1990-10-30
24.62,10.99,0.0,1990-10-31
24.7,10.86,0.0,1990-11-01
26.04,12.21,0.0,1990-11-02
27.55,14.59,0.02,1990-11-03
26.74,16.05,2.0,1990-11-04
26.34,15.99,2.12,1990-11-05
27.64,15.38,1.12,1990-11-06
27.76,14.04,0.04,1990-11-07
26.55,11.84,0.01,1990-11-08
26.01,12.63,0.15,1990-11-09
26.32,13.55,0.0,1990-11-10
25.47,12.57,0.0,1990-11-11
26.79,13.98,0.0,1990-11-12
27.48,13.0,0.06,1990-11-13
26.86,12.08,0.09,1990-11-14
25.27,10.38,0.0,1990-11-15
23.95,10.01,0.0,1990-11-16
23.83,9.16,0.0,1990-11-17
23.74,9.89,0.0,1990-11-18
23.76,10.31,0.0,1990-11-19
24.11,10.25,0.0,1990-11-20
24.26,10.07,0.0,1990-11-21
24.69,10.19,0.0,1990-11-22
24.64,9.16,0.0,1990-11-23
24.42,10.01,0.0,1990-11-24
23.64,9.52,0.0,1990-11-25
21.33,6.71,0.0,1990-11-26
20.69,6.04,0.0,1990-11-27
20.13,6.16,0.0,1990-11-28
19.58,6.16,0.0,1990-11-29
19.26,5.49,0.0,1990-11-30
18.3,5.49,0.0,1990-12-01
20.46,5.98,0.0,1990-12-02
20.69,6.59,0.0,1990-12-03
20.55,8.06,0.0,1990-12-04
21.94,9.22,0.0,1990-12-05
22.74,9.09,0.0,1990-12-06
22.08,8.67,0.0,1990-12-07
21.56,7.75,0.0,1990-12-08
20.59,8.12,0.0,1990-12-09
21.11,7.87,0.0,1990-12-10
21.35,7.32,0.0,1990-12-11
20.26,6.59,0.0,1990-12-12
19.46,6.23,0.0,1990-12-13
19.23,6.47,0.0,1990-12-14
20.94,7.51,0.0,1990-12-15
20.88,6.96,0.0,1990-12-16
22.01,6.71,0.0,1990-12-17
20.68,9.22,0.31,1990-12-18
20.78,7.45,0.22,1990-12-19
19.15,5.13,0.0,1990-12-20
18.26,4.52,0.0,1990-12-21
17.36,3.85,0.0,1990-12-22
18.09,4.15,0.0,1990-12-23
17.56,3.91,0.0,1990-12-24
17.02,3.97,0.0,1990-12-25
17.74,5.19,0.0,1990-12-26
19.04,5.86,0.0,1990-12-27
18.6,4.82,0.0,1990-12-28
19.54,4.88,0.0,1990-12-29
19.33,5.07,0.0,1990-12-30
19.33,5.19,0.0,1990-12-31
19.8,6.47,0.03,1991-01-01
18.58,9.4,0.07,1991-01-02
18.62,8.24,1.18,1991-01-03
16.38,4.15,0.0,1991-01-04
16.37,4.94,0.0,1991-01-05
15.76,3.78,0.0,1991-01-06
16.48,3.6,0.0,1991-01-07
17.83,4.03,0.0,1991-01-08
18.6,5.0,0.0,1991-01-09
20.26,6.23,0.21,1991-01-10
20.43,6.35,0.04,1991-01-11
19.48,7.51,0.03,1991-01-12
20.08,7.63,0.93,1991-01-13
18.3,4.33,0.0,1991-01-14
17.58,3.6,0.0,1991-01-15
16.33,2.62,0.0,1991-01-16
16.67,3.72,0.0,1991-01-17
17.92,3.48,0.0,1991-01-18
17.28,3.54,0.0,1991-01-19
16.1,3.05,0.0,1991-01-20
16.28,2.87,0.0,1991-01-21
17.01,2.87,0.0,1991-01-22
17.96,3.54,0.0,1991-01-23
18.27,3.48,0.0,1991-01-24
17.66,3.48,0.0,1991-01-25
18.39,5.0,0.0,1991-01-26
19.6,5.25,0.0,1991-01-27
20.73,5.19,0.0,1991-01-28
21.48,5.0,0.0,1991-01-29
21.6,4.46,0.0,1991-01-30
21.64,3.6,0.0,1991-01-31
22.33,4.64,0.0,1991-02-01
23.71,6.04,0.01,1991-02-02
23.85,4.76,0.0,1991-02-03
23.23,6.47,0.51,1991-02-04
21.15,4.64,0.0,1991-02-05
21.05,4.09,0.0,1991-02-06
21.43,3.48,0.0,1991-02-07
22.61,3.42,0.0,1991-02-08
22.94,3.72,0.0,1991-02-09
23.35,4.03,0.0,1991-02-10
24.03,4.27,0.0,1991-02-11
25.33,4.58,0.0,1991-02-12
24.37,3.78,0.0,1991-02-13
22.97,2.56,0.0,1991-02-14
22.66,2.81,0.0,1991-02-15
22.04,2.32,0.0,1991-02-16
22.59,2.99,0.0,1991-02-17
23.81,3.42,0.0,1991-02-18
25.0,4.15,0.0,1991-02-19
24.49,3.17,0.0,1991-02-20
23.79,2.08,0.0,1991-02-21
24.97,3.17,0.0,1991-02-22
26.5,3.78,0.0,1991-02-23
26.74,4.52,0.0,1991-02-24
28.26,5.62,0.0,1991-02-25
29.53,6.53,0.0,1991-02-26
28.5,6.59,0.0,1991-02-27
27.21,7.69,0.12,1991-02-28
26.29,8.73,0.09,1991-03-01
26.77,4.46,0.0,1991-03-02
25.52,2.32,0.0,1991-03-03
26.33,3.23,0.03,1991-03-04
27.63,4.82,0.0,1991-03-05
27.89,5.8,0.0,1991-03-06
26.36,3.54,0.02,1991-03-07
26.42,3.05,0.0,1991-03-08
26.1,3.72,0.0,1991-03-09
27.73,3.17,0.0,1991-03-10
28.8,4.39,0.0,1991-03-11
29.02,4.33,0.2,1991-03-12
29.98,5.0,0.0,1991-03-13
31.75,7.93,0.01,1991-03-14
32.48,8.73,0.25,1991-03-15
32.15,7.32,1.07,1991-03-16
31.76,6.04,0.06,1991-03-17
31.44,4.46,0.0,1991-03-18
30.49,4.27,0.0,1991-03-19
30.71,4.03,0.0,1991-03-20
31.3,4.52,0.0,1991-03-21
31.51,3.11,0.0,1991-03-22
29.62,5.98,0.22,1991-03-23
30.78,9.4,1.36,1991-03-24
29.23,7.08,0.0,1991-03-25
29.59,5.25,0.81,1991-03-26
31.53,7.26,0.0,1991-03-27
31.76,7.02,0.0,1991-03-28
32.65,8.3,0.11,1991-03-29
33.61,7.93,0.0,1991-03-30
33.33,9.83,0.0,1991-03-31
33.78,8.54,0.0,1991-04-01
34.16,9.58,0.03,1991-04-02
34.09,9.16,0.39,1991-04-03
34.55,8.91,0.01,1991-04-04
35.28,9.4,0.0,1991-04-05
32.87,6.84,0.01,1991-04-06
31.65,8.36,0.0,1991-04-07
33.66,8.79,0.0,1991-04-08
35.58,10.01,0.14,1991-04-09
34.69,9.28,0.0,1991-04-10
32.67,6.41,0.0,1991-04-11
33.58,6.16,0.23,1991-04-12
34.53,8.18,0.0,1991-04-13
35.76,9.83,0.07,1991-04-14
36.87,10.5,0.31,1991-04-15
35.22,5.86,0.0,1991-04-16
33.35,2.99,0.02,1991-04-17
32.12,2.2,0.0,1991-04-18
31.79,1.95,0.0,1991-04-19
31.48,1.89,0.0,1991-04-20
31.95,4.64,0.0,1991-04-21
33.77,7.63,0.0,1991-04-22
36.23,12.08,0.0,1991-04-23
36.87,13.79,0.0,1991-04-24
37.74,11.41,0.0,1991-04-25
36.15,9.28,0.0,1991-04-26
36.08,12.02,0.0,1991-04-27
36.81,13.73,0.0,1991-04-28
34.15,12.76,1.11,1991-04-29
36.38,11.17,1.5,1991-04-30
37.04,11.23,1.02,1991-05-01
37.3,11.78,0.19,1991-05-02
37.11,16.17,2.94,1991-05-03
37.14,14.95,0.93,1991-05-04
35.81,16.97,7.4,1991-05-05
36.02,15.56,0.45,1991-05-06
37.01,11.84,0.03,1991-05-07
38.08,13.55,0.0,1991-05-08
37.8,15.5,0.87,1991-05-09
37.36,16.36,1.35,1991-05-10
36.73,16.42,0.49,1991-05-11
37.11,14.83,0.27,1991-05-12
37.34,13.67,0.98,1991-05-13
37.23,14.77,0.83,1991-05-14
36.35,15.62,2.48,1991-05-15
36.7,14.89,0.58,1991-05-16
37.42,14.95,0.26,1991-05-17
37.87,14.89,0.32,1991-05-18
36.48,15.08,0.42,1991-05-19
36.43,14.59,1.82,1991-05-20
37.16,14.59,1.5,1991-05-21
36.57,15.44,2.24,1991-05-22
37.3,14.89,1.55,1991-05-23
38.8,14.59,0.02,1991-05-24
38.05,16.78,0.38,1991-05-25
36.55,16.42,0.94,1991-05-26
36.84,16.72,5.31,1991-05-27
35.55,17.27,5.19,1991-05-28
35.64,17.15,0.25,1991-05-29
35.16,17.4,3.87,1991-05-30
34.14,17.27,10.39,1991-05-31
32.13,17.21,12.13,1991-06-01
31.93,15.62,1.21,1991-06-02
34.73,16.42,1.57,1991-06-03
34.51,17.46,2.45,1991-06-04
33.29,17.46,0.77,1991-06-05
29.93,18.31,2.45,1991-06-06
29.03,19.65,2.9,1991-06-07
33.93,18.92,1.01,1991-06-08
31.44,20.02,3.21,1991-06-09
31.24,20.51,4.01,1991-06-10
32.23,19.47,1.8,1991-06-11
31.33,19.9,1.18,1991-06-12
31.47,19.9,3.12,1991-06-13
31.98,19.35,3.62,1991-06-14
31.11,20.69,8.35,1991-06-15
30.93,20.45,6.74,1991-06-16
34.16,19.04,5.93,1991-06-17
34.72,18.86,5.07,1991-06-18
31.03,19.59,7.01,1991-06-19
33.13,18.98,1.06,1991-06-20
34.69,18.01,1.47,1991-06-21
34.98,18.43,0.07,1991-06-22
34.98,19.04,0.62,1991-06-23
35.62,17.82,0.33,1991-06-24
35.69,18.49,0.18,1991-06-25
36.35,18.31,0.43,1991-06-26
36.07,18.01,0.73,1991-06-27
33.26,18.86,1.13,1991-06-28
33.48,18.01,1.46,1991-06-29
32.67,18.55,8.38,1991-06-30
33.32,18.68,9.49,1991-07-01
34.26,18.74,1.32,1991-07-02
33.99,19.53,3.89,1991-07-03
31.64,20.63,3.63,1991-07-04
31.73,20.32,4.8,1991-07-05
31.45,20.63,10.52,1991-07-06
29.15,22.03,12.13,1991-07-07
30.84,20.39,4.25,1991-07-08
31.37,20.2,3.44,1991-07-09
31.96,19.53,0.26,1991-07-10
33.04,18.98,0.31,1991-07-11
33.71,18.86,0.16,1991-07-12
33.88,19.23,1.1,1991-07-13
34.47,19.65,0.77,1991-07-14
33.32,19.65,0.09,1991-07-15
32.24,19.17,0.58,1991-07-16
32.25,19.23,0.49,1991-07-17
30.52,19.9,2.68,1991-07-18
30.51,20.45,3.51,1991-07-19
31.3,19.59,3.85,1991-07-20
32.06,19.35,2.06,1991-07-21
30.08,19.84,4.59,1991-07-22
30.82,20.08,7.0,1991-07-23
31.41,19.65,2.06,1991-07-24
32.74,19.29,0.31,1991-07-25
33.6,19.23,0.05,1991-07-26
34.91,18.92,0.06,1991-07-27
34.4,18.98,0.23,1991-07-28
33.5,19.23,1.44,1991-07-29
32.73,19.23,4.69,1991-07-30
32.35,19.53,2.27,1991-07-31
33.34,19.47,0.27,1991-08-01
30.18,20.32,0.37,1991-08-02
30.56,19.96,4.88,1991-08-03
30.87,19.84,4.62,1991-08-04
32.14,18.98,0.91,1991-08-05
31.86,19.29,2.13,1991-08-06
32.57,19.23,0.85,1991-08-07
33.08,18.37,0.16,1991-08-08
34.49,18.8,1.27,1991-08-09
33.01,19.23,0.51,1991-08-10
32.26,19.96,0.28,1991-08-11
33.51,19.17,0.43,1991-08-12
33.96,19.04,0.98,1991-08-13
33.19,18.43,0.88,1991-08-14
31.16,19.04,3.14,1991-08-15
29.74,19.65,4.18,1991-08-16
30.23,19.35,4.11,1991-08-17
31.16,19.47,7.41,1991-08-18
31.89,19.78,6.14,1991-08-19
32.05,20.39,1.84,1991-08-20
33.44,18.92,0.35,1991-08-21
29.8,19.04,2.7,1991-08-22
31.07,19.29,3.91,1991-08-23
31.37,19.84,4.82,1991-08-24
30.12,20.2,0.51,1991-08-25
30.6,19.9,1.4,1991-08-26
30.58,19.59,3.73,1991-08-27
29.78,19.78,4.29,1991-08-28
29.35,19.59,2.11,1991-08-29
31.08,18.68,1.05,1991-08-30
31.73,18.55,1.66,1991-08-31
31.8,18.92,1.92,1991-09-01
29.97,19.84,3.86,1991-09-02
28.78,20.81,8.41,1991-09-03
28.4,20.32,36.76,1991-09-04
27.64,20.75,27.07,1991-09-05
27.98,20.14,2.98,1991-09-06
28.3,19.96,10.44,1991-09-07
27.05,20.2,7.63,1991-09-08
27.23,20.57,38.51,1991-09-09
28.13,20.39,14.85,1991-09-10
27.76,20.45,1.9,1991-09-11
28.48,20.75,1.06,1991-09-12
27.82,20.87,3.44,1991-09-13
26.89,19.78,2.6,1991-09-14
26.91,19.9,3.84,1991-09-15
27.11,20.2,6.74,1991-09-16
27.48,19.9,5.38,1991-09-17
28.55,19.96,5.07,1991-09-18
28.08,20.45,1.48,1991-09-19
27.74,20.57,1.86,1991-09-20
28.71,20.08,0.53,1991-09-21
28.79,20.39,0.32,1991-09-22
27.21,20.08,0.26,1991-09-23
27.23,20.51,0.61,1991-09-24
26.84,20.81,6.82,1991-09-25
26.87,19.53,10.4,1991-09-26
27.35,18.74,4.35,1991-09-27
27.67,17.76,1.38,1991-09-28
28.84,18.55,0.0,1991-09-29
28.99,19.29,0.0,1991-09-30
28.71,18.13,0.22,1991-10-01
28.04,18.49,0.82,1991-10-02
28.71,18.98,0.8,1991-10-03
27.31,19.23,0.99,1991-10-04
27.02,18.68,3.33,1991-10-05
27.45,18.8,8.5,1991-10-06
27.34,18.62,9.19,1991-10-07
27.89,18.8,5.94,1991-10-08
27.37,17.94,0.01,1991-10-09
25.9,15.87,0.07,1991-10-10
26.02,15.87,0.78,1991-10-11
27.19,17.09,2.72,1991-10-12
25.55,17.76,1.02,1991-10-13
24.21,16.91,7.8,1991-10-14
24.96,16.42,3.44,1991-10-15
26.16,16.3,0.55,1991-10-16
26.09,15.08,0.0,1991-10-17
24.81,12.45,0.0,1991-10-18
23.51,10.86,0.0,1991-10-19
23.77,11.23,0.0,1991-10-20
23.9,10.44,0.0,1991-10-21
24.08,11.72,0.0,1991-10-22
24.88,13.06,0.0,1991-10-23
25.75,13.12,0.0,1991-10-24
25.87,12.51,0.2,1991-10-25
25.48,12.21,0.0,1991-10-26
25.95,13.12,0.0,1991-10-27
26.69,14.16,0.0,1991-10-28
26.48,14.28,0.05,1991-10-29
27.05,15.2,0.08,1991-10-30
25.94,15.14,0.88,1991-10-31
25.95,12.88,0.6,1991-11-01
25.87,11.54,0.44,1991-11-02
24.02,12.08,0.04,1991-11-03
25.38,12.63,0.08,1991-11-04
23.7,9.4,0.06,1991-11-05
23.24,8.85,0.0,1991-11-06
23.27,9.89,0.0,1991-11-07
23.23,9.58,0.0,1991-11-08
23.44,9.4,0.0,1991-11-09
23.23,10.13,0.0,1991-11-10
23.12,10.5,0.31,1991-11-11
23.26,9.95,0.0,1991-11-12
22.69,8.97,0.0,1991-11-13
22.01,8.91,0.0,1991-11-14
22.01,9.34,0.0,1991-11-15
22.14,8.91,0.0,1991-11-16
22.29,10.13,0.0,1991-11-17
22.4,8.67,0.0,1991-11-18
21.15,6.84,0.04,1991-11-19
19.45,5.86,0.0,1991-11-20
18.54,5.37,0.0,1991-11-21
18.97,7.2,0.0,1991-11-22
20.16,8.85,0.0,1991-11-23
20.16,8.73,0.0,1991-11-24
20.8,8.85,0.0,1991-11-25
21.35,8.36,0.0,1991-11-26
21.63,8.36,0.0,1991-11-27
20.5,7.51,0.0,1991-11-28
19.09,6.23,0.0,1991-11-29
18.27,5.68,0.0,1991-11-30
17.53,4.94,0.0,1991-12-01
17.32,4.94,0.0,1991-12-02
17.22,5.43,0.0,1991-12-03
17.53,7.02,0.0,1991-12-04
18.04,7.45,0.0,1991-12-05
18.48,7.57,0.0,1991-12-06
19.15,7.63,0.0,1991-12-07
19.08,7.75,0.0,1991-12-08
21.15,8.42,0.0,1991-12-09
22.62,8.54,0.0,1991-12-10
21.6,8.06,0.0,1991-12-11
20.64,8.36,0.0,1991-12-12
20.22,8.73,0.0,1991-12-13
20.32,8.36,0.0,1991-12-14
20.02,8.06,0.0,1991-12-15
19.84,7.26,0.0,1991-12-16
19.8,6.71,0.0,1991-12-17
19.56,6.59,0.0,1991-12-18
19.55,6.29,0.0,1991-12-19
19.8,6.41,0.0,1991-12-20
19.94,6.59,0.0,1991-12-21
20.65,6.9,0.0,1991-12-22
20.92,8.42,0.03,1991-12-23
21.19,10.99,0.51,1991-12-24
21.12,12.7,6.56,1991-12-25
17.36,9.77,12.3,1991-12-26
17.19,7.51,0.0,1991-12-27
15.46,5.74,0.35,1991-12-28
14.44,4.88,0.0,1991-12-29
14.06,4.39,0.0,1991-12-30
15.38,4.7,0.0,1991-12-31
15.5,5.49,0.12,1992-01-01
13.58,4.46,0.01,1992-01-02
13.31,4.15,0.0,1992-01-03
14.24,4.58,0.0,1992-01-04
14.46,4.76,0.0,1992-01-05
15.25,4.46,0.0,1992-01-06
15.91,5.43,0.0,1992-01-07
16.66,5.62,0.0,1992-01-08
16.74,5.19,0.0,1992-01-09
17.13,5.55,0.0,1992-01-10
17.59,5.49,0.0,1992-01-11
18.54,6.9,0.2,1992-01-12
17.04,6.35,0.47,1992-01-13
17.46,7.26,0.0,1992-01-14
17.31,5.25,0.0,1992-01-15
17.75,4.58,0.0,1992-01-16
17.73,5.07,0.0,1992-01-17
16.76,3.78,0.0,1992-01-18
16.73,3.78,0.0,1992-01-19
16.88,3.91,0.0,1992-01-20
17.63,4.27,0.0,1992-01-21
19.32,6.23,0.42,1992-01-22
20.28,7.08,0.04,1992-01-23
18.9,4.76,0.0,1992-01-24
18.98,4.82,0.0,1992-01-25
19.82,5.98,0.0,1992-01-26
20.44,6.1,0.0,1992-01-27
20.84,6.1,0.0,1992-01-28
21.82,6.16,0.0,1992-01-29
22.55,6.53,0.0,1992-01-30
22.62,5.92,0.0,1992-01-31
21.58,5.98,0.0,1992-02-01
21.92,5.8,0.79,1992-02-02
19.8,4.39,0.2,1992-02-03
18.94,3.54,0.0,1992-02-04
19.18,4.21,0.0,1992-02-05
20.12,4.33,0.0,1992-02-06
21.44,4.7,0.0,1992-02-07
21.59,5.13,0.0,1992-02-08
21.01,5.62,1.02,1992-02-09
21.67,6.84,0.0,1992-02-10
19.38,3.17,0.0,1992-02-11
18.44,2.87,0.0,1992-02-12
19.37,2.93,0.0,1992-02-13
21.4,4.46,0.0,1992-02-14
20.62,3.91,0.0,1992-02-15
20.11,2.99,0.01,1992-02-16
21.1,4.03,0.0,1992-02-17
20.43,2.87,0.0,1992-02-18
19.73,2.56,0.09,1992-02-19
20.81,3.78,0.0,1992-02-20
23.45,10.31,0.11,1992-02-21
24.38,8.3,0.0,1992-02-22
23.9,7.32,0.99,1992-02-23
22.65,4.39,0.32,1992-02-24
21.61,3.66,0.38,1992-02-25
21.65,2.93,0.02,1992-02-26
21.62,3.6,0.0,1992-02-27
23.65,7.26,0.01,1992-02-28
24.65,7.2,0.01,1992-02-29
25.65,5.0,0.0,1992-03-01
23.91,3.6,0.0,1992-03-02
22.8,2.08,0.0,1992-03-03
23.95,2.44,0.0,1992-03-04
25.35,3.6,0.0,1992-03-05
27.42,4.39,0.0,1992-03-06
26.94,4.33,0.0,1992-03-07
25.27,2.87,0.0,1992-03-08
25.15,2.93,0.0,1992-03-09
25.22,3.3,0.0,1992-03-10
25.78,3.3,0.0,1992-03-11
26.46,3.42,0.0,1992-03-12
27.07,4.94,0.0,1992-03-13
28.44,4.33,0.0,1992-03-14
30.45,6.04,0.03,1992-03-15
26.92,2.26,0.03,1992-03-16
26.69,2.26,0.0,1992-03-17
27.46,3.23,0.0,1992-03-18
29.3,7.93,0.0,1992-03-19
30.95,9.4,0.01,1992-03-20
31.97,11.11,0.0,1992-03-21
32.28,9.46,0.0,1992-03-22
31.8,5.62,0.01,1992-03-23
33.42,6.41,0.05,1992-03-24
33.42,5.43,0.0,1992-03-25
32.06,5.37,0.0,1992-03-26
32.45,5.25,0.0,1992-03-27
31.64,5.0,0.0,1992-03-28
32.7,4.64,0.0,1992-03-29
33.37,5.74,0.0,1992-03-30
33.15,6.77,0.0,1992-03-31
32.02,6.16,0.0,1992-04-01
29.92,3.17,0.06,1992-04-02
30.62,2.99,0.0,1992-04-03
31.23,3.91,0.0,1992-04-04
31.99,4.52,0.0,1992-04-05
32.33,5.0,0.0,1992-04-06
32.73,5.31,0.0,1992-04-07
32.0,3.78,0.0,1992-04-08
33.01,5.07,0.05,1992-04-09
33.08,4.88,0.0,1992-04-10
35.52,6.04,0.0,1992-04-11
36.01,6.53,0.0,1992-04-12
35.97,5.86,0.0,1992-04-13
35.67,5.92,0.0,1992-04-14
36.03,7.02,0.0,1992-04-15
34.81,7.39,0.09,1992-04-16
34.37,5.8,0.01,1992-04-17
33.23,7.08,0.15,1992-04-18
34.59,8.36,0.09,1992-04-19
34.82,8.67,0.0,1992-04-20
34.97,8.12,0.15,1992-04-21
35.72,7.93,0.0,1992-04-22
36.33,6.71,0.01,1992-04-23
36.3,6.77,0.04,1992-04-24
36.02,5.92,0.0,1992-04-25
37.12,8.67,0.0,1992-04-26
36.52,10.13,4.14,1992-04-27
35.23,12.27,1.58,1992-04-28
31.35,14.04,11.3,1992-04-29
33.8,13.73,0.0,1992-04-30
34.68,13.0,0.02,1992-05-01
35.09,12.76,0.81,1992-05-02
33.34,13.12,1.83,1992-05-03
31.9,15.32,2.89,1992-05-04
33.89,14.1,0.37,1992-05-05
34.1,10.31,0.01,1992-05-06
33.58,8.73,0.01,1992-05-07
33.62,7.32,0.1,1992-05-08
35.65,9.83,0.0,1992-05-09
36.33,11.41,0.02,1992-05-10
38.08,12.63,0.02,1992-05-11
39.1,11.66,0.03,1992-05-12
38.86,11.35,0.0,1992-05-13
38.46,11.96,0.0,1992-05-14
37.82,13.24,0.1,1992-05-15
38.15,13.31,0.13,1992-05-16
36.94,15.75,7.2,1992-05-17
34.46,16.3,5.15,1992-05-18
35.16,14.53,2.11,1992-05-19
35.94,15.56,1.83,1992-05-20
34.69,15.5,2.14,1992-05-21
32.24,14.95,2.26,1992-05-22
30.76,14.95,4.53,1992-05-23
33.15,13.98,0.0,1992-05-24
32.12,14.83,4.27,1992-05-25
28.44,16.36,6.29,1992-05-26
31.55,15.5,0.98,1992-05-27
33.84,15.56,1.24,1992-05-28
35.48,14.95,0.0,1992-05-29
36.58,15.38,0.01,1992-05-30
36.62,13.61,0.0,1992-05-31
36.6,12.45,0.07,1992-06-01
37.33,14.04,0.0,1992-06-02
37.0,16.05,0.0,1992-06-03
36.66,16.24,4.42,1992-06-04
35.79,15.5,5.7,1992-06-05
36.4,14.65,0.0,1992-06-06
37.08,16.3,0.01,1992-06-07
35.84,16.36,2.1,1992-06-08
34.03,17.21,4.41,1992-06-09
32.95,17.46,0.56,1992-06-10
35.83,16.66,0.44,1992-06-11
35.03,17.4,2.69,1992-06-12
35.15,18.01,4.92,1992-06-13
34.84,17.82,0.54,1992-06-14
36.73,16.66,0.47,1992-06-15
35.59,16.11,0.02,1992-06-16
34.56,17.33,0.56,1992-06-17
33.65,18.25,1.09,1992-06-18
34.7,17.21,1.01,1992-06-19
34.65,17.64,2.23,1992-06-20
32.42,19.1,2.63,1992-06-21
34.37,18.74,0.6,1992-06-22
32.03,19.47,0.46,1992-06-23
32.41,20.63,3.81,1992-06-24
34.53,18.62,2.05,1992-06-25
35.4,17.64,1.29,1992-06-26
35.86,17.88,1.57,1992-06-27
33.23,18.55,1.51,1992-06-28
34.73,18.25,1.35,1992-06-29
34.18,18.74,1.04,1992-06-30
34.33,17.52,0.13,1992-07-01
35.08,17.82,0.7,1992-07-02
35.78,18.25,1.49,1992-07-03
33.27,18.98,1.03,1992-07-04
36.35,17.33,0.26,1992-07-05
35.65,17.76,0.33,1992-07-06
33.48,18.62,5.14,1992-07-07
31.01,19.1,3.98,1992-07-08
33.0,18.07,1.37,1992-07-09
30.37,19.23,1.93,1992-07-10
30.51,18.62,2.31,1992-07-11
29.46,19.84,10.46,1992-07-12
31.43,19.04,4.48,1992-07-13
30.9,18.92,0.95,1992-07-14
30.97,19.41,0.39,1992-07-15
30.15,19.65,4.69,1992-07-16
29.24,19.53,6.18,1992-07-17
28.9,18.8,1.3,1992-07-18
30.2,19.78,3.06,1992-07-19
30.51,20.81,7.83,1992-07-20
30.17,19.41,2.8,1992-07-21
32.05,18.98,1.29,1992-07-22
33.69,19.59,1.11,1992-07-23
34.29,19.96,0.4,1992-07-24
33.62,19.29,0.28,1992-07-25
31.9,19.17,0.37,1992-07-26
30.71,18.92,1.02,1992-07-27
30.88,18.25,0.73,1992-07-28
31.23,17.82,0.74,1992-07-29
32.73,18.68,1.05,1992-07-30
31.01,18.68,2.52,1992-07-31
31.7,18.49,3.36,1992-08-01
32.75,18.25,1.3,1992-08-02
31.73,18.55,1.27,1992-08-03
32.58,18.07,0.57,1992-08-04
32.74,17.82,0.1,1992-08-05
30.67,19.65,5.95,1992-08-06
29.44,18.55,5.35,1992-08-07
30.44,17.94,2.93,1992-08-08
31.73,17.88,0.43,1992-08-09
33.33,18.01,0.93,1992-08-10
34.55,18.13,0.21,1992-08-11
34.68,18.49,0.15,1992-08-12
35.14,19.1,0.95,1992-08-13
34.77,18.25,0.54,1992-08-14
31.82,18.8,1.41,1992-08-15
32.41,19.04,3.58,1992-08-16
32.51,18.92,0.59,1992-08-17
33.36,18.43,0.58,1992-08-18
33.97,18.19,0.85,1992-08-19
33.37,19.17,0.67,1992-08-20
32.8,18.19,0.49,1992-08-21
33.41,17.27,0.46,1992-08-22
33.98,17.58,0.22,1992-08-23
33.34,18.68,0.09,1992-08-24
30.75,19.84,0.38,1992-08-25
30.73,19.04,4.79,1992-08-26
29.06,20.51,12.69,1992-08-27
29.44,20.2,5.39,1992-08-28
32.28,18.25,0.78,1992-08-29
34.79,18.01,0.18,1992-08-30
34.56,18.19,0.05,1992-08-31
34.57,17.76,0.08,1992-09-01
34.83,17.82,0.11,1992-09-02
32.66,18.37,1.64,1992-09-03
33.05,18.37,1.18,1992-09-04
33.42,17.7,0.19,1992-09-05
33.55,17.21,0.68,1992-09-06
33.44,17.52,0.98,1992-09-07
32.91,18.13,1.02,1992-09-08
32.33,18.37,0.58,1992-09-09
30.52,17.88,0.3,1992-09-10
31.7,18.74,2.16,1992-09-11
29.05,18.8,6.91,1992-09-12
30.61,17.03,3.41,1992-09-13
31.83,17.21,1.34,1992-09-14
32.84,15.87,0.04,1992-09-15
32.87,16.17,0.1,1992-09-16
